;;;;;;;;;;;;;;;;;;;;;;;Цели и приоритеты;;Планирует в течение дня;;;;;;;;Правильно определяет категорию Не фиксированных по времени задач при планировании;;;;;;;Правильно учитывает категорию фиксированной по времени задачи при планировании (встречи, совещания);;;Выполнять НЕ фиксированные по времени задачи  с учетом их категорий;;;;;;;;Выполнять фиксированные по времени задачи  с учетом их категорий;;;;Следует плану при выполнении задач;Завершает выполнение задачи (держит приоритет);;;;Исходя из цели (задачи) коммуникации выбирать наилучший способ (канал) коммуникации;;;;;;;Управлять количеством и периодами временем, затраченными на почту;;;Эффективно обрабатывать входящие письма;;;;;;Создавать сообщения, информативные и экономные для себя, коллег и партнеров;;;;Управлять количеством и периодами времени, затраченного на звонки;;Правильно принимать входящие звонки;;;Эффективно обрабатывать входящие звонки;;Управлять количеством и периодами времени, затраченного на встречи;;;Правильно принимать посетителей;;;Эффективно обрабатывать результаты встречи;;;Управлять количеством и периодами времени, затраченного на IM;;;;;Эффективно обрабатывать сообщения IM;;;Использовать делегирование как инструмент управления своим временем и объемом выполненных задач;;;;;;;Правильно управляет ресурсами различной квалификации;;Использует обратную связь как инструмент мотивации и обучения сотрудников;;;Делегировать сотруднику, наиболее подходящему для выполнения задачи;;Легко включается в работу из стрессовой ситуации ;;Следует приоритетам при статусном и эмоциональном воздействии;;;Внимательность и концентрация;Ответственность;;;Принимает решения;;;Скорость принятия решений;Обоснованность принимаемых решений;;;Результатоориентированность;;;;;
id записи;id_old записи;Код события;Наименование события;Начало, время;Задержка, мин;Персонаж-ОТ (код);Настроение персонаж-ОТ (+голос);Персонаж-КОМУ (код);Настроение персонаж-КОМУ;№ шага в диалоге;№ реплики в диалоге;Реплика;Конечная реплика (да/нет);;Имя звук/видео файла;Путь;Примечания;Категория события;Переключение флагов;;Отправка письма фант образом;Открытие полученного письма фант образом;1122;1232;214a1;214a2;214a3;214a4;214a5;214a6;214a7;214a8;214b1;214b2;214b3;214b4;214b5;214b6;214b7;214c1;214c2;214c3;214d8;214d1;214d2;214d3;214d4;214d5;214d6;214d7;214e1;214e2;214e3;214e4;214f1;214g1;214g2;214g3;214g4;3214;3216;3218;32110;32112;32113;32114;3311;3312;3313;3322;3323;3324;3325;3326;3327;3331;3332;3333;3335;341a1;341a8;341b1;341b5;341b7;341c1;341c2;351a1;351a2;351a4;351b1;351b2;351b3;351c1;351c2;351c3;371a1;371a2;371a3;371a4;371a5;371b1;371b2;371b3;4121;4122;4123;4124;4125;4126;4127;4141;4143;4151;4152;4153;4134;4135;7141;7143;7211;7212;7213;8111;8211;8212;8213;8331;8332;8333;8351;8341;8342;8343;8361;8362;8363;;;
1;1;ET1.1;Звонок начальника по сводному бюджету. Входящий;11:00;;2;-;1;уравновешенное;1;0;звук телефонного звонка;нет;-;-;#N/A;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;time;да
2;2;ET1.1;Звонок начальника по сводному бюджету. Входящий;;;1;-;2;уравновешенное;1;1;ответить;да;E1;-;#N/A;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
3;3;ET1.1;Звонок начальника по сводному бюджету. Входящий;;;1;-;2;уравновешенное;1;2;не ответить;да;S1.1;-;#N/A;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
4;4;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;2;в гневе;1;уравновешенное;1;0;- Не вижу сводного бюджета! Ты должен был сдать еще вчера!;нет;-;E1_1.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E1_1.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
5;5;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;1;уравновешенное;2;в гневе;1;1;- Раиса Романовна, ну что вы так волнуетесь?! Я уже несколько дней только бюджетом и занимаюсь, до отпуска точно успею.;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;0;;;dialog;да
6;6;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;1;уравновешенное;2;в гневе;1;2;- Раиса Романовна,  я как раз собираюсь подключить нашего лучшего аналитика, чтоб было побыстрее. ;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;dialog;да
7;7;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;1;уравновешенное;2;в гневе;1;3;- Раиса Романовна, помню про бюджет. Сейчас же приступаю к доработке. ;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;dialog;да
8;8;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;1;уравновешенное;2;в гневе;1;4;-          Раиса Романовна, я всегда говорил, что сроки подготовки бюджета не реальны. Делаю все от меня зависящее.;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;0;;;dialog;да
9;9;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;2;в гневе;1;уравновешенное;2;0;- Так, у тебя на доработку три часа. И никаких отсрочек! Чтобы через три часа файл был у меня в почте!;нет;-;E1_2.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E1_2.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
