;;;;;;;;;;;;;;;;;Цели и приоритеты;;Планирует в течение дня;;;;;;;;Правильно определяет категорию Не фиксированных по времени задач при планировании;;;;;;;Правильно учитывает категорию фиксированной по времени задачи при планировании (встречи, совещания);;;;Выполнять НЕ фиксированные по времени задачи  с учетом их категорий;;;;;;;;Выполнять фиксированные по времени задачи  с учетом их категорий;;;;;Завершает выполнение задачи (держит приоритет);;;;Исходя из цели (задачи) коммуникации выбирать наилучший способ (канал) коммуникации;;;;;;;;;;Управлять количеством и периодами временем, затраченными на почту;;;;;Эффективно обрабатывать входящие письма;;;;;Создавать сообщения, информативные и экономные для себя, коллег и партнеров;;;;;Управлять количеством и периодами времени, затраченного на звонки;;Правильно принимать входящие звонки;;;;;;;Эффективно обрабатывать входящие звонки;;;Управлять количеством и периодами времени, затраченного на встречи;;;Правильно принимать посетителей;;;;;;Эффективно обрабатывать результаты встречи;;;;;Управлять количеством и периодами времени, затраченного на IM;;;;;;;Эффективно обрабатывать сообщения IM;;;Использовать делегирование как инструмент управления своим временем и объемом выполненных задач;;;;;;;Правильно управляет ресурсами различной квалификации;;;Использует обратную связь как инструмент мотивации и обучения сотрудников;;;Делегировать сотруднику, наиболее подходящему для выполнения задачи;;;;Легко включается в работу из стрессовой ситуации ;;;;;;Следует приоритетам при статусном и эмоциональном воздействии;;;Внимательность и концентрация;;Ответственность;;;Принимает решения;;;Скорость принятия решений;Обоснованность принимаемых решений;;;Результатоориентированность;;;;;;;;
№;Наименование события;Начало, время;Длительность, мин;Персонаж-ОТ;Настроение персонаж-ОТ;Персонаж-КОМУ;Настроение персонаж-КОМУ;№ шага в диалоге;№ реплики в диалоге;Реплика;Конечная реплика (да/нет);;Примечания;Категория события;Переключение флагов;;1122;1232;214a1;214a2;214a3;214a4;214a5;214a6;214a7;214a8;214b1;214b2;214b3;214b4;214b5;214b6;214b7;214с1;214с2;214с3;214с4;214d8;214d1;214d2;214d3;214d4;214d5;214d6;214d7;214e1;214e2;214e3;214e4;214e5;214g1;214g2;214g3;214g4;3214;3215;3216;3217;3218;32110;32111;32112;32113;32114;3311;3312;3313;3314;3316;3322;3323;3324;3325;3326;3331;3332;3333;3335;3336;341a1;341a8;341b1;341b2;341b3;341b4;341b5;341b6;341b7;341c1;341c2;341c3;351a2;351a3;351a4;351b1;351b2;351b3;351b4;351b5;351b6;351c1;351c2;351c3;351c4;351c5;371a1;371a2;371a3;371a4;371a5;371a6;371a7;371b1;371b2;371b3;4121;4122;4123;4124;4125;4126;4127;4141;4142;4143;4151;4152;4153;4132;4133;4134;4135;7141;7142;7143;7144;7145;7146;7211;7212;7213;8111;8134;8211;8212;8213;8331;8332;8333;8351;8341;8342;8343;8361;8362;8363;;Сумма новая;Кол-во новое;;Сумма старая;Разница старая - новая
ET1.1;Звонок начальника по сводному бюджету. Входящий;11:00;0;финдир;уравновешенное;герой;уравновешенное;1;0;звук телефонного звонка;-;-;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET1.110;0;0;;#Н/Д;#Н/Д
ET1.1;Звонок начальника по сводному бюджету. Входящий;11:00;0;герой;уравновешенное;финдир;уравновешенное;1;1;ответить;да;E1;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET1.111;1;1;;1;0
ET1.1;Звонок начальника по сводному бюджету. Входящий;11:00;0;герой;уравновешенное;финдир;уравновешенное;1;2;не ответить;да;S1.1;;Звонок;F1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET1.112;1;2;;1;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;финдир;в гневе;герой;уравновешенное;1;0;-          Я не вижу сводного бюджета! Еще вчера он должен был быть на моем столе!;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E110;0;0;;0;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;герой;уравновешенное;финдир;в гневе;1;1;-          Раиса Романовна, не надо мне напоминать еще раз. Я уже несколько дней занимаюсь только этой задачей и точно успею до отпуска.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;`;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;E111;0;1;;0;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;герой;уравновешенное;финдир;в гневе;1;2;-          Раиса Романовна, я как раз сейчас планировал подключить к задаче моего  лучшего аналитика для ускорения работы.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;E112;2;2;;2;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;герой;уравновешенное;финдир;в гневе;1;3;-          Раиса Романовна, я помню про бюджет. Приступаю к доработке немедленно.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;E113;2;2;;2;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;герой;уравновешенное;финдир;в гневе;1;4;-          Раиса Романовна, я всегда говорил, что сроки подготовки бюджета не реальны. Делаю все от меня зависящее.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;E114;0;1;;0;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;финдир;в гневе;герой;уравновешенное;2;0;-          У тебя на доработку три часа  и учти, что больше отсрочек ты не получишь! Через три часа файл должен быть у меня в почте!;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E120;0;0;;0;0
