id записи;Код события;Номер шага;Номер реплики;F1;F2;F3;F4;F5;F6;F7;F9;F10;F11;F12;F13;F14;F15;F22;Комментарии
whole_event;ET1.3.1;1;0;;;;1;;;;;;;;;;;;
whole_event;ET1.3.2;1;0;;;;1;;;;;;;;0;;;;событие возникает только в случае, если F13 = 0 (герой НЕ забрал сводный бюджет себе обратно)
whole_event;E1.3.3;1;0;;;;1;;;;;;;;0;;;;
whole_event;E1.2.1;1;0;;;1;;;;;;;;;;;;;
whole_event;E2.2;1;0;;;1;;;;;;;;;;;;;
whole_event;E12;1;0;;;;;;;;;;;;;1;;;
601;T7.4;2;0;;;;;;;;;;;;;;;1;
142;E2;3;1;;;1;;;;;;;;;;;;;
405;ET12.1;1;2;;;;;;;;;;;;;1;;;
409;ET12.2;1;2;;;;;;;;;;;;;1;;;
411;ET12.2;1;3;;;;;;;;;;;;;1;;;
810;S2;1;1;1;;;;;;;;;;;;;;;
811;S2;1;2;1;;;;;;;;;;;;;;;
817;S2;1;1;;;;;;;;;;;1;;;;;
818;S2;1;2;;;;;;;;;;;1;;;;;
822;S2;1;1;;1;;;;;;;;;;;;;;
823;S2;1;2;;1;;;;;;;;;;;;;;
