B1;R1;R2;R3;R4;R5;R6;R7;R9;R10;R11;R12;R13;R14;W1;W2;W3;W4;W6;W7;W8;W9;W10;W12
в отделе аналитики;ваши замечания;были внесены;10%;(заключение прилагаю);00 г.  ;в точном соответствии с ;встречи;Босс;коллеги;автоматизацией данных;Виктор Петрович;в регион;Егор;без отклонений;в точном соответствии с;00 г.  ;без отклонений;вернуться к разговору;автоматизацию процесса;без конкретной ;буду жаловаться;батарей ;Алевтина Михайловна
вашего содействия в получении  ;вечера;в бюджете;15%;аналитический отдел;01 г. ;данные для логистики;встречу;в среду;автоматизировать процесс сбора данных о продажах с клиентов;Алевтина Михайловна;в отпуске;в регионе Д;адрес клиента;за третий квартал;данные для логистики;01 г.;за третий квартал;еще раз все взвесить;без тебя не разберусь;в каком виде;важную работу;в отделе;буду жаловаться
внес коррективы;во вложении;в результате;18%;ближайшие дни;13 часов 05 октября;два часа;где же твой профессионализм;в цвете;Алевтина Михайловна;благодарю за;вы нашли аналитика;в регионе Е;будет полезен;заняться этой работой;два часа;13 часов 05 октября;заняться этой работой;желаю удачи;включим тебя в проект;вам ;время ремонта;вынести на обсуждение;в подразделении продаж
внесу изменения завтра;время дополнительно;вопиющее нарушение сроков регламента;38%;буду в отпуске;в;ждет данные;дает;в четверг;без этих данных;бюджетную пору;должен заниматься;в регионе С ;давай завтра;не известен;ждет данные;в;не известен;информацию в отдел персонала;встретимся;выполнять;давайте посчитаем;вынужден снова;важнейшая статья
встречаться;готов;изменениями затрат на производство;45%;в;включай;за  прошедшие 12 месяцев;завершай;добавить;благодарю за;важность продаж;его обучением и адаптацией;включая ;дать не могу;поговорить с коллегами;за  прошедшие 12 месяцев;включай;непременно ошибется;Марина;встречался;дай знать;должно быть согласовано;готовность;весь бюджет 
давайте;дать;изменил расчеты затрат;50%;в бюджете;дай;за последние 9 месяцев ;как тебе не стыдно;доволен;бюджетную пору;ваше понимание;завтра;выгрузить складской остаток ;его разрешение;покажи итоговый вариант Марине Крутько;за последние 9 месяцев;дай;поговорить с коллегами;на новом месте;давай;данные;на каком основании;дать комментарии;возмущен
данные буду готовы;завтрашнего дня;изменились все;70%;в связи с;для него;задолжали;Марина;доделать;важность продаж;вечно;назначу разговор;до трех дня ;кто ;пользуйся;задолжали;для него;покажи итоговый вариант Трутневу;найти нового аналитика;дай знать ;должны быть ;не могу прервать;две недели;генеральному директору
дают информации;закончил работу;интегральные показатели;2,516,946;выделить;за;как освободишься;не дает;Долгова;ваше понимание и терпение;встретиться и обсудить ;непременно;за период;надо подумать;пора;как всегда;за;пользуйся;отработать две недели;для нас приемлем;Егор;от работы;жаловаться;давайте встретимся
день;не;итогового;14 300;денег;завтра;логистика;не ожидал;доработать;вечно;вы;они обратятся ко мне;завтра;ниже;прошу тебя;как освободишься;завтра;пора;отработать месяц;завтра;задачи;отвлекает;завтра;дать пояснения
документ не готов;не позднее;к сожалению;15 800;Денежной Р.Р.;закупок ;мы;не отражает;ждет;всех подразделений;дам ответ;отдел персонала;и ;пришлю после отпуска;сдавать отчет по продажам;логистика;закупок;прошу тебя;переслал ;интеграция данных;запрос;по сводному бюджету;каждый год;дошла информация 
договорились;планирую закончить;которые;2 333 836;для;Ивану Доброхотову ;на выполнение;не очень;информацию;встретиться и обсудить ;для понимания потребности;очень рад;каждого месяца ;требуется;составлять отчет по продажам;Марина,;Ивану Доброхотову;прошу тебя;по поводу твоего увольнения;какой метод;какие именно ;сколько компании;компьютеров;не бюджетируют
забери машину из сервиса;просмотреть;куда внесены;будет;для аналитического отдела;используй;не;о результатах;к 5 вечера;вы;если;позвоню ему;какие данные ;;среда следующей недели;мы;используй;сдавать отчет по продажам;подумал;какой формат данных;какие сроки;ставит меня перед фактом;на работу;необходимо
информации от  ;прошу;менять весь бюджет;была;достаточно места;мне;нет времени;отражает;к 7 вечера;дам ответ;есть;помогу вам;мне;;срок подготовки  ;на выполнение;Марина;составлять отчет по продажам;помоги;масса вопросов по твоей теме;мне письмо;стоит ;одно и то же;обеспокоен
итоговой версии бюджета;Раиса Романовна;мне пришлось;в 01 году;других;наш склад;нужно;очень;каждому;если;завтра;при необходимости;на ;;стандартной процедурой;не;мне;среда следующей недели;предлагаю ;не откладывая;мы отказываемся;такая организация работ;повторяется;обсудить 
к сожалению  ;сводный бюджет;наказать;в 02 году;жаловался ни раз;нашему клиенту;откладывая;презентация ;как обычно;есть;занимается;с завтрашнего дня;на 01 число ;;так как;не справляется;наш склад;срок подготовки  ;прошу тебя;нужна помощь;не отвечаешь на письма и звонки;ужасный хам;при наступлении сезона;получается
